id,artist,title,year
011462361d93824df2dad7e58e370dee,Kosheen,Damage,2007.0
0114633c321ab281070efa9adeb9ce35,Moby,Mothers of the Night,2008.0
0118c62dc45b399c148947709523bfe2,Lit,Lovely Day,1999.0
011ecb56de61e90826d03ee069185372,Boards of Canada,Kaini Industries,1998.0
011f7429f29c87028cbcdcb667190ed9,Wir sind Helden,Guten Tag,2002.0
0120dd29fe807e754f8b9ff38456a486,Sébastien Tellier,Universe,2001.0
0123c87a00eee8d0457f9d9607685e8e,In Flames,A New Dawn,2011.0
0127848ce7e7d9aa0628b3122571f96b,Ayreon,The Decision Tree (We're Alive),1998.0
012b5d1b7ed9d75b9bbd2210000b1691,Battlelore,Elves Of Luva,2005.0
0138a8a2d9f240349d65cf618c49237f,Eternal Tears of Sorrow,Heart of Wilderness,2001.0
0139d5240822a1c9f565686d49232733,Lupe Fiasco,Hurt Me Soul,2006.0
013a1036bf07aa5c972b3a6c50411f46,ATB,Black Nights,2004.0
013b5dc01fd89dc4077ad15d5a74beee,Samael,Western Ground,2007.0
013cc05f544dffee069ef8a599a553d2,Theatre of Tragedy,Fragment,2000.0
013fb73e8076980fdc539087d5e82a7c,Ariel Pink's Haunted Graffiti,Good Kids Make Bad Grown Ups,2000.0
0142937a918b8f76ff52d1ea1ed20c78,Arcana,As The End Draws Near,2012.0
0142a7fc8174630529cef103ee7d1103,Calvin Harris,You Used to Hold Me,2009.0
0148a2af6e3decb92e349eccc9207010,Agonoize,suffer,2004.0
014cf0761dec2277b51b758be118bb6f,Iron Butterfly,Most Anything You Want,1968.0
014dff16c66f0e1a6f2c68ae31de9d07,Faith No More,From Out of Nowhere,1990.0
014fac01c55458617f2eda4ad25f8130,Awolnation,Sail,2010.0
01502238e52e9f1c520ca751c8a11ade,Beastie Boys,Do It,1994.0
0153fb8666333b56ee25b1dbba55f3ec,Honne,Warm On A Cold Night,2015.0
015a2b89a40ea6d9ec7f9e0397b64941,Blur,Bugman,1999.0
015daf3f4cb8af534c097d2a90c20be7,Toni Basil,Mickey,1982.0
0161f99f6d9c784dbef9b9efd6f63ec6,Glass Animals,Season 2 Episode 3,2016.0
016453ea1374e655fc776353f8ffe9c6,Nine Inch Nails,The Frail,
01648b4a22547bf0133b203966b8e5d5,Visions of Atlantis,Eclipse,2002.0
0168238f29902706240865f25c947d87,Baroness,Grad,2007.0
016aec1cc076684f36fcc6bc3a006893,Gazpacho,Dream of Stone,2007.0
016b77f7524374e83bfbcc4c5f8dab50,Aurora,I Went Too Far,2016.0
016d6211f62695ee3ef728993d13966c,John Legend,You & I (Nobody in the World),2013.0
016e5a1b8dd74f26d09f753b1829a185,Rancid,Where I'm Going,2017.0
0172d1e79c3e845542ad7d02b9b5e37a,Led Zeppelin,Walter's Walk,1982.0
0172d6998eb88fdb6ba26c557677dfaa,ABBA,Take a Chance on Me,1990.0
0173a7a947bc0b9543d9628f00163492,Dark Moor,The Chariot,2007.0
0173cc5b0dc11e9d8b7a085c93d16e69,Karen Matheson,Morning,1996.0
0176737e5f321ca29c70b9a361f0b9ca,Passion Pit,I'll Be Alright,2012.0
01776c923386cd94a6cbc239310f54fd,Bloodbath,Cancer of the Soul,2004.0
01784990419d459e1c6496a4147f699e,Drake,GET it TOgeTHEr,2017.0
017c95445d591381d92702d9c50a9a09,Katy Perry,California Gurls (feat. Snoop Dogg),
017cdcee25acad3d6cfd421155a2ba09,Janis Joplin,Little Girl Blue,
0181aa48ca913977b5a600d08cc02828,White Lies,Death,2008.0
01838fc08baef45dba526f5924989947,Lacuna Coil,Senzafine,2004.0
0186a79f74257def52670c5b6b63a517,The Verve,History,1997.0
018f52f1ac2963e189e9fba3cbe8dabf,Das Ich,Das Ich im Ich (And One remix),2000.0
01906ddb7c82dc18421c8191d197e84c,Jon Anderson,Some Are Born,1980.0
019336bd98be7705793adbe1acde510a,UVERworld,D-tecnoLife,2005.0
0195e08bde6472e8bf26d4c63c031d19,Front 242,Slaughter,1987.0
0197dfca3586a2085e65a2d06c9483b9,Lacrimosa,Meine Welt,1999.0
0199d4ed3d93305c756fca9930aabd44,Cold Cave,Love Comes Close,2009.0
01a7e9e1a9b74581d9842573178703f1,Evol Intent,Middle Of The Night,2008.0
01b513d161c65f6eb92e658606790315,Wes,Alane - Radio Version,
01b5b5a8927dedaaf7ce31105f26d22b,King Floyd,Groove Me,1997.0
01b612d19a3be39ef2dd399d9af9f4e1,The Game,Big Dreams,2008.0
01b75879778d2ebdebf14eb9e0dabce5,Chairlift,Planet Health,2008.0
01bc430105012f57e5737a2216f1109c,Michael Jackson,Workin' Day and Night,1992.0
01c3b4baa8bd8659064333704151b48a,The Sunshine Underground,Put You In Your Place,2006.0
01c41d082f9522032695a1f107651d9e,The Replacements,Bastards of Young,2013.0
01c426f74db767940b25c0ca9234578e,Iced Earth,Prophecy,1999.0
01d07785a279f415f32f10f73f97260b,The Cat Empire,Sly,2005.0
01d3e4fc24148eeb1015ebfb6f35e0b9,Die Apokalyptischen Reiter,Silence of Sorrow,2004.0
01d4b484b42a9b1abb5fa170b6bfc3fc,Hard-Fi,Feltham Is Singing Out,2004.0
01d5b84570a94e939265b73d6ffa4408,Jimi Hendrix,Born Under a Bad Sign,1994.0
01d5c87757057057f4d23a99b1e82fec,John Mayer,Something's Missing,2003.0
01d60c9961a8da9a8dd57f6e409e6621,Aerosmith,The Movie,1987.0
01d9303af483579d0ddf892adb2dc0a4,Led Zeppelin,Since I've Been Loving You,1993.0
01db2657fd36fc0c5bf1251c8b077f0a,Elvis Presley,I'll Never Let You Go (Little Darlin'),1956.0
01de17a7338584761761f1f5f1722011,Belle and Sebastian,Judy Is a Dick Slap,2000.0
01e31109f547ff2ece7578ebbd3bbb95,Confide,Zeal,2008.0
01eaa0c0e8966344baa322aaa71d1768,Jessie J,"Flashlight - From ""Pitch Perfect 2"" Soundtrack",2012.0
01ecf84c751fc4e56c98be2801a07c91,Squarepusher,Iambic 9 Poetry,2004.0
01eeaa80bc5597723d79026f6db402cf,Matt & Kim,Let's Go,2012.0
01f02f0a76b80e494927e136dc82abac,The Black Dahlia Murder,When the Last Grave Has Emptied,2003.0
01f1d962b92d43532df00f8eb86e2e3b,Найк Борзов,Бардак в голове,2000.0
01f1f24af7bb72389815ec8cd74e61a2,Alessia Cara,Seventeen,2015.0
01f2d7f76725092d19b1547fbb5cfc8b,Sean Kingston,Got No Shorty,2007.0
01f454a8b2acac394fde4d879b3c6428,Pixies,Evil Hearted You,1991.0
01f45753dbdeae69c82560fc49956d5b,NUMBER GIRL,タッチ,1999.0
01f559f00a02703e3f1fc3b4c02017f6,Gorgoroth,Begravelsesnatt,1994.0
01fb492d927ef8e3cc3765686a5016fa,Vivian Girls,Never See Me Again,2007.0
01fb8f249f634b85ada9b0bab6230f21,Built to Spill,Trimmed and Burning,2001.0
01fd2ff209dffcfcabd15341d6a24d06,Пилот,Рок,2002.0
01fe05e17c34bbee12fd0f8a50b2c624,Lacuna Coil,Fire,2012.0
0208b62ec461d5d92d16dcbfe57030e9,Azealia Banks,JFK,2014.0
020a20ee47653fa98b99903894e7d3db,L.Stadt,Superstar,2008.0
02138c906d1383f45b86f7cb75f703f0,Modest Mouse,Willful Suspension of Disbelief,2000.0
02155d86c12cd43207c1304a8b19bc74,Exile,Lovers Again,2007.0
0216aec2b62b2fb04e7b28251d40fa4b,Hechizeros Band,El Sonidito,2008.0
02195d9dd026f0f8d7693e8d36fac5d4,Los Rodríguez,Para no Olvidar,1995.0
021bf26c9764ff9a8e4213e91da2845f,Testament,Musical Death (A Dirge),1988.0
022072068409cac8ced1fc2e12f06207,Lasgo,Surrender (Radio Edit),2003.0
0220997b7c4a44e92bbc7162579769cb,G-Unit,Smile,2003.0
0228d9fb4744df303e98ed0e2fdb8408,3 Doors Down,Live for Today,2005.0
022a797a737c364795402e98f740c38f,We Came As Romans,Broken Statues,2009.0
022ab287e2dfe6b3c24182237382842f,Siouxsie and the Banshees,Switch,1978.0
022c7e6c874aa922388c93a7127e3510,Stafrænn Hákon,Svefn,2007.0
022d04d7a2ab1762272431d354d89556,Vulfpeck,Dean Town,2016.0
022f025c2964d061e754a26074f18354,Fun Lovin' Criminals,The Fun Lovin' Criminal,1997.0
02375aeb8b98a4fd4bc8eb853467d369,Jerry Lee Lewis,Whole Lotta Shakin' Goin' On,1986.0
023a73d75ddf6a50bee7d7be10288df6,TV on the Radio,Lover's Day,2008.0
024063f26ca0a43ebcd85a2f6305ea6e,Aretha Franklin,Day Dreaming,1992.0
02436bfa64a0f57260438f25239b7d4e,Finntroll,Ormhäxan,2007.0
02446c63d185c2e0d13ce09446ffa014,Santana,Foo Foo,2002.0
024ef1f4641ff0042db6282efec39a40,Oceansize,Catalyst,2000.0
024f9d59589f180b55ed7a652d92b350,Volbeat,Find That Soul,2008.0
025949119d2de44872f1476b995a066a,Disturbed,The Curse,2008.0
0259e800c796344ce33cd5941c38a6a7,Big D And The Kids Table,Little Bitch,2004.0
025d2bfcc9864835b1b2c4c20eb6f1da,Frankie Rose,Pair of Wings,2012.0
0262bae1999233dc039b941c7efeea15,LCD Soundsystem,Hippie Priest Bum-out,2007.0
0268ecc663477024ebc8646ac50aa608,Jason Mraz,Bella Luna,2005.0
026c2497e0bc3e41f42c8611ede4762b,Empyrium,The Shepherd and the Maiden Ghost,1999.0
02714a27ce9a17f7778daae9a4c3b661,Pentagram,Broken Vows,1987.0
027490291cac94503949be1a95fb3afb,Kaliber 44,Więcej szmalu 2,1996.0
027d38658a87c1c4c9ae92f5c867b6af,Юлия Савичева,Высоко,2003.0
027e1f01583c0763179d718f4a5e6e6c,Feist,How Come You Never Go There,2011.0
027fcf46af5487bfe5d70fcd1ddf207e,Don Carlos,Young Girl,1982.0
02806d22d9b7faf940e141e8d0339af7,Die Toten Hosen,Zehn kleine Jägermeister,1996.0
028a91872787335fe4fd3b3ee7ce135b,Annie Lennox,Love Song for a Vampire,1992.0
028b6a517f1060c39d3dec51e0a7c599,Sonic Syndicate,Callous,2007.0
028e9fb9f902087f997df2f75b335294,Polygon Window,Quoth (Wooden Thump Mix),1993.0
0295f6072278e150ebe13da3dd028a1e,Acrostichon,Pain,1995.0
0296fa715d9a37e0eec23528a3c87f60,Basement Jaxx,Everybody,2006.0
029b466990dfd1eb44e0278c8b816ca1,Sabaton,1 6 4 8,2012.0
029fa93f8c57c8658b0febb2110f0599,Kanye West,All Day,2015.0
02a4017d811cf3b2b30f68507fe605b2,Clutch,The Devil & Me,2007.0
02a6784b86d41e1b213f1acf6ff6f124,Paul Kalkbrenner,Train,2008.0
02a67deb9f3b2092f62a5c6d57cb43a4,The Pogues,Thousands Are Sailing,1988.0
02abbec05f7c8b45efa3a751a7e844dd,Kid Koala,More Dance Music,2003.0
02ae91496830eac138e1992dcd661f1b,Stasis,"We, The Pain",
02b257c6fd612d5b4dfbd491b7e90538,Bad Brains,At the Movies,1988.0
02bd63062c783604f6b1b5f38821a909,大塚愛,ビー玉,2005.0
02bea8c39ba7698f1afa1aaab4d24bcd,Interpol,Take You on a Cruise,2004.0
02bfee121ceb554a54f70c5c694947fe,Maybeshewill,Seraphim & Cherubim,2007.0
02c1ab5d6ad473f4a132be90dc81faac,Ramin Djawadi,Victory Does Not Make Us Conquerors,2011.0
02c534b26b4edbc99be81c7189c4bd26,Glittertind,Longships and Mead,2009.0
02c859e8c2ea39f49e19a96d5a076aff,High on Fire,Snakes for the Divine,2010.0
02ca2f2c1b3445ad8a08504794ab7395,Sonic Youth,Waist,1994.0
02ca50a72e01151e24af6b8f5ba92c56,Editors,Honesty,2013.0
02cd5b26642dc7ff8ab3a73cd88391b1,The Magnetic Fields,No One Will Ever Love You,1999.0
02cfe69a44b2420393aa27d676666a15,Noah and the Whale,Give It All Back,2011.0
02d5b627d585fd9565b33427eaaa0089,Simon & Garfunkel,I Am a Rock,1988.0
02d661882ceac7eee67ad725359b6217,Machine Head,This Is the End,2011.0
02d90aa772618102b827b96e2292a1f9,Dawn Penn,"You Don't Love Me (No, No, No) - Extended Mix",
02e120e65883788af67bc8eb924aad5b,Månegarm,Den gamle talar,2007.0
02e4b8af2bb55302163e7051be1c25c2,Mates of State,My Only Offer,2008.0
02e68485c8c7fe4da3971b460207e5f1,Gang Gang Dance,Romance Layers,2011.0
02e9c7763df716f8ed251d3bec885a46,Dale Cooper Quartet & The Dictaphones,Une Cellier,2006.0
02f3b9e3bcdf3c191fe03e5ecbb3c51d,John Williams,The Invisibility Cloak and the Library Scene,
02f6b09f772a7f70d3230b5d2d836cef,The Skatalites,The Guns of Navarone,2000.0
02f6cab1455d8a56de1e770933746b94,Aerosmith,Janie's Got a Gun,1993.0
02f78e6e6cdae667387597056b29ad94,Nick Drake,The Thoughts of Mary Jane,1969.0
02f99e32aad3bc258d664d33121f258d,The Cat Empire,Prophets in the Sky,2013.0
02fb4b8173e3e2ea63819cd85c3571ee,The Promise Ring,Is This Thing On?,1997.0
02fd3dfadbd9acfd5857dc4360e16b96,Brian Eno,Regiment,1981.0
0308aaa85214283a2d19db17cf7b3b8a,Thrice,The Lion And The Wolf,2008.0
030c2c947b2d36cbf7a1f508b4459062,Os Mutantes,Senhor F,1968.0
030c3aa7cf125632b918ef6754c7fb97,Red Snapper,Seeing Red,1998.0
030e39cdda0113cdc98cbe51efc94583,Clan of Xymox,There's No Tomorrow,2002.0
031262d2fe137a24de026c52ccfb489c,Accept,Metal Heart,2004.0
0317b26dafb0173d850b79eee708127c,Supreme Beings of Leisure,Strangelove Addiction,1999.0
0319607b8271c0668e61baef6eeb5238,Touché Amoré,Displacement,2016.0
032250470255e97689b95b68f17d08dc,Moonsorrow,Kylän päässä,2001.0
0324948a82e99164f845e582c19f379a,Carpathian Forest,Sadomasochistic,1998.0
0329a332afe3b28759b76956a5b3b06b,Morrissey,The Youngest Was the Most Loved,2006.0
0329daa11070dd463f7d28a2f5feb024,My Morning Jacket,Lowdown,2001.0
032a5d42d9218b2cf1a6f8d156c6a750,Zемфира,Не стреляйте,
032a966bce936140e209553c3ecbd711,12 Stones,Anthem for the Underdog,2007.0
032c1d0f5ce5c8e727ab66d79615fed8,Hammock,Stranded Under Endless Sky,2005.0
032ca2c767567d1df863d0bdf497fa80,John Legend,Everybody Knows,2009.0
032e0bcf9929bcf41573afb5aa2ad29f,Nao,Inhale Exhale,2015.0
032e708ab041e351363b07eb75d7c352,Skanna,Find Me,1995.0
0332c3b867065e59f8a7d08d267f1796,Theatre of Tragedy,Poppæa,1998.0
03347711bcac047094e9b13bf95dfa09,Au Revoir Simone,Another Likely Story,2009.0
03357de6a545847795a0fff0511544b8,Twenty One Pilots,Morph,2018.0
033ad2f0cbd5ad79adfaea28b2c0a8d3,Quantic,Apricot Morning,2002.0
034056960513d0131a3a630e367cb8bc,Desiderii Marginis,The Love You Find in Hell,2005.0
034dbb2af3de05d76c674139a2d0bad3,Backstreet Boys,All I Have to Give,1998.0
0354061864055c569d8776480bf71a62,Ed Sheeran,...Baby One More Time - Recorded at Spotify Studios NYC,
035be47bb168903a9b86b5fd82240c9a,Kult,Piotr Pielgrzym,2001.0
035d67de4b66a1f6ace999815b1fb32c,Mount Sims,How We Do,2002.0
036e7ef36d17ef9670b0ac4ab8b52d32,Serge Gainsbourg,L'Ami Caouette,1975.0
036f46ef6cf5f2ad2dd309d62d2932a2,Disturbed,Forgiven,2005.0
0372b1a49ceae8315882d9c1d28b8cea,Swans,When She Breathes,1991.0
037300d63d2abb9f5970dd970ce821c7,Kylie Minogue,Slow,2003.0
03759b5f09491fe24fcf185fa26bcc56,Rainbow,Stone Cold,1982.0
037999c9d3d56820ce4d23b2f2acfe6a,New Order,Temptation,1992.0
037b3dc50972ed1ceed2f106b64be8b4,Sum 41,war,2016.0
037d6bbc7aab67441c56a929dd4de5d6,Devourment,Butcher the Weak,2005.0
0380b75ebc6a66f3b7e11540943192d9,Deftones,Hearts / Wires,
0382621aadd34cce060b6ae6b445c69e,Barry Louis Polisar,All I Want Is You,1977.0
0383d389c20034d1d3d7f967679785aa,Gym Class Heroes,Viva La White Girl,2006.0
0389688e3466fd3754f1496bbbaf6250,Wax Tailor,Sometimes,2007.0
038a11698bc7096221e268b5e1dd4f32,Mastodon,Pendulous Skin,2006.0
038f585c6a7a60e0f7c528fa187fe72d,3 Inches of Blood,Dominion Of Deceit,2004.0
0390de681e56c9223767269c0f78b930,Baths,Maximalist,2010.0
03920577edcf636ac84c6c74ad85fda5,Combichrist,Follow the Trail of Blood,2010.0
0397f5ee53651ceb16fa917623e0731a,Attila,Outlawed,
03a06966d6df0d453371a693746c28a3,Parliament,P-Funk (Wants To Get Funked Up),1975.0
03a0ca70f8178ccb4777bd511ad4f1a2,Morbid Angel,Desolate Ways,1991.0
03a17a5b32704a67cc3e475fb065cb5a,Run the Jewels,DDFH,2013.0
03a5001dacd707af3d98278306fc9e72,Linkin Park,The Little Things Give You Away,2007.0
03a69ed5ecff56aa94c9ff32ac3cb90d,Weezer,Why Bother?,2011.0
03aa2fd731a236ee061169083986dd0d,Leftfield,Melt,1995.0
03ae7ea2a822c833898f365d976a4ffb,Anton Bruckner,"Os justi, WAB 30",2008.0
03aef3a2a3ec916ffd857df83911a3a5,Porcelain Black,One Woman Army,2014.0
03af914a391065497d674e06ed7e9888,Noisia,Split the Atom,2008.0
03b491340eeb9b670810c486863bea4b,The Faint,How Could I Forget?,2004.0
03b5e5b718d4d3cf93bd91bed35ab226,Rammstein,Mann gegen Mann,2005.0
